age,utme_score,post_utme_score,olevel_points,subject_relevance,catchment_category,course_choice,interview_score,admission_status
16,211.0,45.0,40.0,0.88,Non-Catchment,First Choice,92.3,1
20,162.0,85.2,25.0,0.58,Catchment,Second Choice,60.6,0
22,269.0,40.1,31.0,0.77,Non-Catchment,First Choice,66.0,1
22,254.0,69.9,36.0,0.6,ELDS,First Choice,61.5,1
24,246.0,61.4,21.0,0.52,Non-Catchment,First Choice,44.7,0
18,290.0,72.9,45.0,1.0,Non-Catchment,First Choice,66.4,1
22,263.0,38.3,31.0,0.92,Non-Catchment,First Choice,73.9,0
16,251.0,89.6,29.0,0.55,Catchment,First Choice,51.2,0
19,120.0,52.3,34.0,0.66,Catchment,Second Choice,64.7,0
19,274.0,65.1,36.0,1.0,Catchment,First Choice,61.2,1
20,224.0,76.7,30.0,0.5,Catchment,First Choice,78.3,1
22,234.0,45.9,41.0,0.51,Non-Catchment,Second Choice,54.0,1
22,234.0,67.4,37.0,0.79,ELDS,First Choice,64.5,1
19,255.0,43.4,30.0,1.0,ELDS,Second Choice,68.7,1
22,270.0,76.0,32.0,0.71,Catchment,First Choice,53.6,1
18,249.0,43.6,26.0,0.91,ELDS,First Choice,43.5,0
21,241.0,55.6,27.0,0.5,Catchment,First Choice,46.7,0
17,230.0,59.6,37.0,0.77,Non-Catchment,First Choice,68.2,1
24,100.0,66.8,30.0,0.63,Catchment,First Choice,55.3,0
20,207.0,84.5,45.0,1.0,Catchment,First Choice,55.0,1
21,178.0,48.2,35.0,1.0,Catchment,First Choice,72.1,0
19,274.0,72.1,27.0,1.0,Non-Catchment,First Choice,80.4,1
22,248.0,84.6,28.0,0.56,Catchment,First Choice,83.8,1
24,199.0,57.5,41.0,0.71,Catchment,First Choice,47.7,1
22,204.0,46.7,35.0,0.78,ELDS,First Choice,78.5,1
16,202.0,29.0,41.0,0.57,ELDS,First Choice,100.0,0
16,201.0,83.2,33.0,0.73,Catchment,First Choice,62.5,1
24,155.0,51.3,32.0,0.88,Non-Catchment,First Choice,58.5,0
24,145.0,40.0,42.0,0.59,Catchment,First Choice,54.4,0
19,221.0,34.6,30.0,0.56,Catchment,First Choice,38.7,0
24,268.0,40.0,38.0,0.55,Non-Catchment,First Choice,76.8,1
18,196.0,68.8,34.0,0.43,Non-Catchment,Second Choice,58.6,0
22,234.0,70.9,40.0,0.87,Non-Catchment,First Choice,57.0,1
21,253.0,64.8,45.0,0.56,Non-Catchment,First Choice,73.7,1
23,175.0,57.0,33.0,0.54,Non-Catchment,Second Choice,75.6,0
24,219.0,36.3,32.0,0.81,Non-Catchment,Second Choice,48.0,0
20,190.0,44.1,39.0,0.7,Non-Catchment,Second Choice,48.5,0
16,292.0,38.4,29.0,0.59,Non-Catchment,First Choice,47.6,0
18,290.0,63.6,45.0,0.86,Catchment,First Choice,100.0,1
23,175.0,39.1,44.0,0.59,Non-Catchment,Second Choice,89.5,0
21,237.0,44.3,29.0,0.26,Non-Catchment,Second Choice,74.1,0
23,268.0,52.2,26.0,0.97,Non-Catchment,First Choice,52.5,0
24,258.0,30.0,28.0,0.53,Non-Catchment,First Choice,54.9,0
19,224.0,55.7,28.0,0.56,Catchment,Second Choice,67.3,1
16,279.0,53.4,40.0,0.56,Non-Catchment,First Choice,100.0,1
16,179.0,72.8,44.0,0.71,Catchment,First Choice,65.8,1
19,206.0,42.7,40.0,0.65,ELDS,First Choice,70.2,1
22,181.0,35.5,34.0,0.9,Non-Catchment,First Choice,9.0,0
17,255.0,49.4,37.0,1.0,Catchment,First Choice,65.2,1
18,194.0,38.5,30.0,0.56,Non-Catchment,First Choice,32.1,0
16,212.0,55.6,42.0,0.51,Non-Catchment,Second Choice,50.3,0
20,248.0,27.1,38.0,0.6,Catchment,First Choice,60.9,0
16,251.0,45.9,40.0,0.79,Non-Catchment,First Choice,54.0,1
23,179.0,41.1,31.0,0.68,Non-Catchment,Second Choice,47.3,0
16,268.0,63.5,34.0,0.6,Non-Catchment,First Choice,47.5,0
16,241.0,42.8,39.0,0.44,Catchment,First Choice,55.8,0
17,171.0,29.0,44.0,0.26,Non-Catchment,First Choice,54.9,0
17,160.0,52.0,31.0,0.5,ELDS,First Choice,60.4,0
21,219.0,59.8,40.0,0.95,ELDS,First Choice,58.9,1
22,258.0,50.9,31.0,0.79,Non-Catchment,First Choice,85.6,0
20,259.0,45.8,45.0,0.66,ELDS,Second Choice,19.0,0
16,236.0,44.9,33.0,0.85,Non-Catchment,First Choice,64.9,1
16,222.0,56.7,39.0,0.44,Non-Catchment,First Choice,61.4,0
18,243.0,41.7,36.0,0.71,Non-Catchment,First Choice,57.3,0
17,182.0,50.1,45.0,0.34,Catchment,First Choice,45.9,0
20,296.0,66.3,36.0,0.77,Non-Catchment,First Choice,57.0,1
21,295.0,35.5,32.0,0.75,Non-Catchment,First Choice,27.3,0
22,239.0,54.3,39.0,0.76,Non-Catchment,Second Choice,64.1,0
19,229.0,28.2,39.0,0.93,Non-Catchment,First Choice,67.8,1
22,201.0,58.4,34.0,0.86,Non-Catchment,First Choice,45.9,0
23,244.0,40.3,28.0,0.46,Catchment,First Choice,98.8,0
16,189.0,70.3,32.0,0.94,Catchment,First Choice,57.6,1
21,120.0,32.8,40.0,0.66,Catchment,First Choice,60.9,0
23,100.0,61.6,25.0,0.31,Non-Catchment,Second Choice,86.7,0
20,184.0,73.3,34.0,0.68,Catchment,First Choice,100.0,1
19,227.0,39.5,41.0,0.83,Non-Catchment,First Choice,37.5,0
17,235.0,42.1,34.0,0.5,Catchment,Second Choice,48.5,0
21,198.0,40.8,45.0,0.97,Non-Catchment,First Choice,57.9,1
21,226.0,47.7,25.0,0.52,Non-Catchment,Second Choice,45.1,0
16,208.0,62.8,29.0,0.6,Non-Catchment,First Choice,76.9,0
24,175.0,46.5,21.0,0.57,Catchment,First Choice,42.9,0
21,218.0,38.2,45.0,0.36,Non-Catchment,First Choice,85.3,0
18,257.0,24.7,29.0,0.5,Catchment,First Choice,72.5,0
19,177.0,79.0,23.0,0.56,Catchment,First Choice,83.3,0
19,177.0,80.2,31.0,0.67,Catchment,First Choice,43.0,0
18,172.0,63.4,27.0,0.1,Catchment,First Choice,52.3,0
18,133.0,42.8,31.0,0.84,Catchment,First Choice,78.0,0
18,198.0,66.2,35.0,0.84,Catchment,Second Choice,74.3,0
19,252.0,69.2,40.0,0.94,Catchment,First Choice,54.3,1
22,228.0,51.2,34.0,0.4,Non-Catchment,First Choice,57.1,0
19,212.0,55.6,35.0,0.64,ELDS,First Choice,51.3,0
24,226.0,73.5,32.0,0.89,Non-Catchment,First Choice,56.6,1
16,198.0,30.4,26.0,0.91,Catchment,First Choice,40.7,0
23,132.0,70.0,24.0,1.0,Non-Catchment,First Choice,37.3,0
22,255.0,50.4,33.0,0.72,Non-Catchment,Second Choice,80.1,0
17,268.0,38.3,36.0,0.69,Catchment,First Choice,55.9,1
23,187.0,39.5,32.0,0.39,Non-Catchment,First Choice,83.0,0
16,213.0,42.0,24.0,0.91,Non-Catchment,Second Choice,71.9,0
24,209.0,36.8,36.0,0.61,ELDS,Second Choice,66.2,1
24,236.0,81.6,45.0,0.71,Non-Catchment,First Choice,45.8,1
17,296.0,62.4,34.0,0.69,Non-Catchment,First Choice,35.8,1
22,272.0,71.0,32.0,0.22,Non-Catchment,First Choice,50.9,1
18,203.0,63.4,35.0,0.54,Catchment,First Choice,90.6,0
22,244.0,55.9,28.0,0.79,Catchment,Second Choice,77.8,0
24,276.0,56.1,28.0,0.69,Non-Catchment,First Choice,49.0,0
19,238.0,49.0,38.0,0.79,Catchment,First Choice,51.1,1
16,220.0,50.3,41.0,0.86,Catchment,First Choice,41.4,1
17,240.0,33.9,34.0,0.54,Catchment,First Choice,29.1,0
16,188.0,71.2,23.0,0.6,Non-Catchment,First Choice,62.0,0
20,195.0,27.8,37.0,0.67,Catchment,First Choice,94.5,0
20,172.0,39.1,45.0,0.85,Catchment,First Choice,94.8,1
22,234.0,85.2,34.0,0.65,Non-Catchment,First Choice,72.2,1
24,214.0,57.0,34.0,0.34,Non-Catchment,First Choice,47.9,0
24,183.0,57.7,30.0,0.66,Catchment,First Choice,31.0,0
18,213.0,64.6,38.0,0.85,ELDS,First Choice,80.9,1
18,241.0,31.9,31.0,0.97,Non-Catchment,First Choice,68.9,0
18,306.0,34.1,41.0,0.76,Non-Catchment,Second Choice,53.7,0
19,266.0,48.3,31.0,0.4,Catchment,First Choice,50.3,0
23,117.0,41.4,37.0,0.62,Non-Catchment,First Choice,72.0,0
21,231.0,53.9,35.0,0.8,Non-Catchment,First Choice,43.5,0
23,284.0,62.3,44.0,0.87,Catchment,First Choice,64.8,1
16,160.0,75.8,37.0,0.8,Catchment,First Choice,35.6,0
23,245.0,67.2,43.0,0.65,Catchment,First Choice,100.0,1
19,209.0,40.1,36.0,0.87,ELDS,First Choice,46.3,0
16,272.0,49.4,34.0,0.57,Catchment,First Choice,73.0,1
23,238.0,45.3,35.0,0.74,Non-Catchment,First Choice,36.0,0
19,180.0,39.8,30.0,0.85,Catchment,First Choice,56.7,0
21,211.0,36.3,38.0,0.82,Non-Catchment,Second Choice,77.7,0
23,214.0,80.0,31.0,0.82,Non-Catchment,First Choice,82.0,1
19,214.0,55.2,36.0,0.81,Catchment,First Choice,75.3,0
18,270.0,51.6,40.0,0.49,Non-Catchment,First Choice,57.2,1
24,182.0,62.3,45.0,0.7,Catchment,First Choice,46.7,0
18,265.0,63.0,36.0,0.52,Catchment,First Choice,38.4,1
24,206.0,71.8,40.0,0.64,Non-Catchment,First Choice,90.1,1
17,230.0,43.8,39.0,0.47,Catchment,Second Choice,62.1,1
17,223.0,61.0,33.0,0.77,Non-Catchment,First Choice,65.8,1
17,219.0,41.3,45.0,0.31,Catchment,First Choice,83.3,0
21,219.0,52.1,32.0,0.82,Catchment,First Choice,71.7,1
18,286.0,55.9,36.0,0.7,Non-Catchment,First Choice,57.5,1
24,258.0,57.3,44.0,1.0,Non-Catchment,First Choice,74.9,1
19,204.0,56.7,44.0,0.66,Catchment,Second Choice,47.5,0
16,291.0,67.0,35.0,0.66,Non-Catchment,First Choice,29.0,0
19,232.0,46.0,41.0,0.84,Catchment,Second Choice,88.2,1
16,236.0,57.7,34.0,0.67,Non-Catchment,First Choice,49.2,1
20,182.0,43.6,32.0,0.75,Catchment,Second Choice,53.9,0
19,198.0,98.8,28.0,0.9,Catchment,Second Choice,55.7,1
23,189.0,41.3,39.0,0.65,Non-Catchment,First Choice,48.0,0
23,224.0,44.5,40.0,0.94,Catchment,Second Choice,82.0,1
22,249.0,68.2,32.0,0.36,Catchment,First Choice,67.5,1
18,237.0,48.6,37.0,1.0,Catchment,First Choice,53.9,1
16,291.0,68.2,45.0,0.34,Non-Catchment,First Choice,34.5,1
16,180.0,57.3,42.0,0.97,ELDS,First Choice,66.1,1
18,225.0,49.0,30.0,0.33,Non-Catchment,Second Choice,11.0,0
21,162.0,43.7,41.0,1.0,Non-Catchment,First Choice,64.7,1
22,179.0,43.2,30.0,0.73,Non-Catchment,First Choice,86.9,0
21,277.0,49.1,18.0,0.51,Non-Catchment,First Choice,61.3,0
21,199.0,52.4,35.0,1.0,Catchment,Second Choice,84.1,0
21,184.0,42.5,44.0,0.48,ELDS,Second Choice,35.4,0
18,124.0,53.4,43.0,0.65,Catchment,First Choice,100.0,0
21,183.0,38.6,37.0,1.0,Catchment,First Choice,81.9,1
23,211.0,66.3,32.0,0.78,Non-Catchment,First Choice,69.5,0
17,159.0,69.2,38.0,0.29,Non-Catchment,First Choice,48.0,0
20,208.0,44.4,33.0,0.65,Catchment,First Choice,44.7,1
16,277.0,43.6,32.0,0.63,Catchment,First Choice,58.6,0
16,188.0,57.7,41.0,0.74,Non-Catchment,First Choice,84.1,1
20,178.0,74.0,32.0,0.69,Non-Catchment,First Choice,33.7,0
18,169.0,77.3,42.0,0.81,Non-Catchment,First Choice,60.2,1
19,169.0,34.0,31.0,0.39,Catchment,Second Choice,74.7,0
18,244.0,70.1,45.0,0.59,ELDS,Second Choice,78.6,1
16,222.0,54.1,25.0,0.76,Catchment,First Choice,74.6,1
16,263.0,54.4,29.0,0.55,Non-Catchment,First Choice,31.6,0
20,311.0,62.6,34.0,0.92,Non-Catchment,First Choice,82.6,1
21,138.0,47.8,23.0,0.55,Catchment,First Choice,61.3,0
18,237.0,71.5,20.0,0.73,Catchment,First Choice,38.3,0
24,170.0,76.4,23.0,0.68,ELDS,Second Choice,59.5,0
20,256.0,76.9,33.0,0.5,Non-Catchment,First Choice,20.8,0
23,208.0,27.3,33.0,0.71,Catchment,First Choice,71.6,1
16,221.0,51.6,37.0,0.44,Non-Catchment,First Choice,57.4,0
20,162.0,26.0,34.0,0.61,Catchment,First Choice,34.6,0
18,201.0,43.5,37.0,0.71,Non-Catchment,Second Choice,54.2,0
16,224.0,19.0,32.0,0.41,Catchment,First Choice,45.9,0
19,281.0,61.8,39.0,0.82,Non-Catchment,Second Choice,47.1,1
20,184.0,58.3,39.0,0.75,Catchment,First Choice,14.8,0
22,195.0,48.5,33.0,0.81,Non-Catchment,Second Choice,26.6,1
16,262.0,43.1,38.0,0.7,Non-Catchment,Second Choice,55.4,0
18,181.0,59.7,34.0,0.47,Catchment,First Choice,52.0,0
17,271.0,39.8,26.0,0.7,Non-Catchment,Second Choice,79.5,0
24,220.0,38.8,40.0,0.82,Catchment,First Choice,47.4,0
21,234.0,37.0,30.0,0.46,Non-Catchment,Second Choice,49.5,0
18,237.0,51.9,40.0,0.48,Catchment,First Choice,50.4,0
23,192.0,46.3,37.0,0.65,Non-Catchment,First Choice,56.1,1
23,238.0,49.2,34.0,0.63,ELDS,First Choice,61.8,0
17,185.0,62.8,24.0,0.7,Catchment,First Choice,51.9,0
21,197.0,69.4,44.0,0.64,Catchment,Second Choice,71.4,1
22,245.0,76.8,33.0,0.73,Non-Catchment,First Choice,100.0,1
17,233.0,55.9,39.0,0.94,Non-Catchment,First Choice,43.5,0
17,217.0,60.2,34.0,0.81,ELDS,First Choice,67.8,0
16,163.0,57.8,33.0,0.71,Catchment,First Choice,60.6,0
23,175.0,29.9,36.0,0.48,Catchment,First Choice,80.9,0
16,232.0,49.5,35.0,0.56,Non-Catchment,First Choice,64.1,1
24,253.0,49.5,33.0,0.87,Non-Catchment,First Choice,45.5,1
21,170.0,47.3,35.0,0.61,Non-Catchment,First Choice,36.7,0
22,182.0,54.4,38.0,0.51,Catchment,First Choice,72.2,0
22,226.0,51.7,38.0,1.0,Catchment,First Choice,38.3,0
18,225.0,40.2,35.0,1.0,Catchment,Second Choice,83.7,0
17,147.0,52.7,39.0,0.68,ELDS,First Choice,71.1,1
24,227.0,45.4,32.0,0.48,Catchment,First Choice,61.7,0
23,193.0,15.7,45.0,0.84,Non-Catchment,First Choice,33.8,0
22,294.0,34.0,44.0,0.6,Non-Catchment,First Choice,73.5,1
24,231.0,56.3,40.0,0.88,Catchment,First Choice,92.3,1
19,239.0,71.4,23.0,0.6,Catchment,First Choice,51.5,0
19,240.0,18.6,39.0,1.0,Non-Catchment,First Choice,45.2,0
16,165.0,41.9,33.0,0.6,Catchment,First Choice,58.2,0
23,307.0,61.5,29.0,1.0,Catchment,First Choice,69.3,1
18,147.0,68.2,33.0,0.74,Catchment,First Choice,49.4,0
22,256.0,48.7,30.0,0.98,Non-Catchment,First Choice,78.0,0
17,248.0,44.8,38.0,0.59,ELDS,First Choice,98.2,0
17,199.0,73.3,45.0,0.44,Non-Catchment,First Choice,66.6,1
22,250.0,66.9,40.0,0.24,Non-Catchment,Second Choice,53.5,1
21,206.0,67.9,45.0,0.96,Non-Catchment,First Choice,68.8,1
18,190.0,48.0,26.0,0.71,Non-Catchment,First Choice,83.5,0
24,241.0,71.7,32.0,0.45,ELDS,Second Choice,63.2,0
21,175.0,25.8,29.0,0.96,Non-Catchment,First Choice,69.7,0
21,210.0,72.0,42.0,0.93,Catchment,First Choice,74.1,1
16,193.0,54.0,34.0,0.98,ELDS,First Choice,42.5,0
19,205.0,56.9,36.0,0.43,Non-Catchment,First Choice,69.2,0
21,239.0,40.8,39.0,0.95,Catchment,Second Choice,33.2,0
21,193.0,27.8,26.0,0.78,ELDS,First Choice,46.8,0
20,211.0,56.6,31.0,0.99,Catchment,First Choice,82.9,0
16,197.0,63.3,41.0,0.81,Catchment,First Choice,77.4,1
23,285.0,65.5,32.0,0.73,Non-Catchment,Second Choice,54.6,1
20,235.0,63.9,25.0,0.95,Catchment,First Choice,94.1,0
20,230.0,60.5,30.0,0.87,Non-Catchment,Second Choice,33.8,0
22,251.0,41.1,33.0,0.92,Catchment,First Choice,55.9,0
19,193.0,66.5,36.0,0.6,Catchment,Second Choice,65.5,1
21,259.0,39.5,35.0,0.67,Non-Catchment,First Choice,3.8,0
19,236.0,71.6,31.0,0.35,Non-Catchment,First Choice,56.8,0
18,150.0,53.7,41.0,0.59,Catchment,First Choice,37.5,0
22,156.0,54.2,34.0,0.86,ELDS,Second Choice,38.0,0
23,194.0,68.0,36.0,0.81,Non-Catchment,First Choice,54.6,1
19,161.0,70.0,32.0,0.5,Catchment,First Choice,23.5,0
17,209.0,66.6,44.0,0.96,Catchment,First Choice,43.8,1
18,174.0,42.7,33.0,1.0,Non-Catchment,First Choice,24.0,0
16,216.0,66.4,35.0,0.52,Non-Catchment,Second Choice,62.5,0
23,284.0,42.8,41.0,0.66,Catchment,First Choice,62.1,1
18,218.0,66.8,37.0,0.58,Catchment,Second Choice,53.0,0
22,206.0,33.6,37.0,0.68,Non-Catchment,First Choice,79.9,0
20,237.0,53.6,23.0,0.75,Catchment,Second Choice,54.1,0
20,189.0,42.7,39.0,0.56,Non-Catchment,First Choice,59.5,0
22,258.0,68.0,35.0,0.64,ELDS,First Choice,41.9,1
24,242.0,71.7,38.0,0.72,Catchment,First Choice,13.9,1
20,222.0,58.0,36.0,0.79,Non-Catchment,Second Choice,57.1,1
16,227.0,57.5,32.0,0.99,ELDS,First Choice,54.5,1
16,312.0,65.6,40.0,0.7,ELDS,First Choice,94.2,1
17,262.0,71.8,36.0,0.59,ELDS,Second Choice,73.3,0
21,319.0,55.6,27.0,0.84,Non-Catchment,Second Choice,51.7,0
24,244.0,47.5,43.0,0.78,Non-Catchment,Second Choice,62.8,1
23,154.0,64.7,26.0,0.66,Non-Catchment,First Choice,78.1,0
20,208.0,27.1,40.0,0.8,Non-Catchment,First Choice,70.3,0
16,143.0,68.6,44.0,0.62,Non-Catchment,First Choice,93.4,1
22,244.0,44.3,28.0,0.59,Catchment,First Choice,44.2,0
20,254.0,51.4,34.0,0.32,Catchment,First Choice,79.5,1
21,180.0,68.7,34.0,0.63,Catchment,First Choice,51.5,0
22,190.0,48.8,34.0,0.35,Non-Catchment,Second Choice,63.9,0
18,227.0,64.7,45.0,0.57,Non-Catchment,First Choice,48.8,1
18,166.0,72.1,28.0,0.82,Non-Catchment,First Choice,57.2,0
20,163.0,56.7,33.0,0.4,Catchment,First Choice,64.2,0
21,276.0,59.7,44.0,0.66,Non-Catchment,First Choice,71.9,1
24,225.0,53.2,33.0,0.71,Catchment,First Choice,61.2,0
20,195.0,56.7,29.0,0.65,Non-Catchment,First Choice,10.3,0
16,144.0,38.3,37.0,0.6,Catchment,First Choice,58.5,0
19,258.0,50.6,40.0,0.77,ELDS,Second Choice,89.4,1
20,189.0,35.7,33.0,0.79,Non-Catchment,First Choice,58.3,0
20,304.0,41.5,38.0,0.7,Non-Catchment,Second Choice,90.0,1
22,259.0,25.0,27.0,0.61,Non-Catchment,First Choice,57.6,0
19,184.0,59.0,27.0,0.87,Non-Catchment,First Choice,28.6,0
16,188.0,80.4,32.0,0.44,Catchment,First Choice,51.3,1
20,297.0,48.2,39.0,0.84,Non-Catchment,First Choice,48.8,1
22,216.0,69.5,40.0,0.78,ELDS,First Choice,55.4,1
21,197.0,71.9,28.0,0.74,Non-Catchment,First Choice,36.3,0
20,221.0,37.0,39.0,0.7,Non-Catchment,Second Choice,59.8,0
19,197.0,40.2,36.0,0.32,ELDS,Second Choice,53.4,0
17,231.0,69.9,30.0,0.98,Non-Catchment,First Choice,85.8,1
19,217.0,53.6,27.0,0.87,Non-Catchment,First Choice,35.8,0
18,259.0,35.6,36.0,0.51,Non-Catchment,First Choice,64.9,0
16,203.0,45.4,43.0,0.85,ELDS,Second Choice,68.2,0
